

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

  ONLY INNER PHASE SHIFTS ARE TABULATED

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -9.47805696E-04      0.00000000E+00
       1     -3.08695200E-07     -7.51327430E-04
       2     -7.61464475E-11     -2.42648473E-07
       3     -1.46490477E-14     -5.97597437E-11
       4      0.00000000E+00     -1.18587529E-14
       5      0.00000000E+00      0.00000000E+00
       6      0.00000000E+00     -0.00000000E+00
       7      0.00000000E+00     -0.00000000E+00
       8     -0.00000000E+00      0.00000000E+00
       9     -0.00000000E+00     -0.00000000E+00
      10      0.00000000E+00     -0.00000000E+00
      11     -0.00000000E+00     -0.00000000E+00


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
  8.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.000E+00 6.39718E-17  0.000E+00 (-4.405E-09,-6.676E-09) (-3.379E-11,-5.121E-11)  4.21E-06
  1.100E+00 4.37195E-17  0.000E+00 (-3.365E-09,-5.691E-09) (-2.840E-11,-4.803E-11)  3.10E-06
  1.200E+00 3.08863E-17  0.000E+00 (-2.611E-09,-4.906E-09) (-2.403E-11,-4.517E-11)  1.62E-06
  1.300E+00 2.24382E-17  0.000E+00 (-2.050E-09,-4.270E-09) (-2.045E-11,-4.259E-11)  2.63E-07
  1.400E+00 1.66915E-17  0.000E+00 (-1.626E-09,-3.748E-09) (-1.746E-11,-4.026E-11)  7.60E-07
  1.500E+00 1.26739E-17  0.000E+00 (-1.299E-09,-3.314E-09) (-1.495E-11,-3.815E-11)  1.26E-06
  1.600E+00 9.79605E-18  0.000E+00 (-1.044E-09,-2.950E-09) (-1.282E-11,-3.622E-11)  1.31E-06
  1.700E+00 7.69122E-18  0.000E+00 (-8.428E-10,-2.642E-09) (-1.099E-11,-3.447E-11)  1.01E-06
  1.800E+00 6.12301E-18  0.000E+00 (-6.818E-10,-2.378E-09) (-9.415E-12,-3.286E-11)  5.36E-07
  1.900E+00 4.93514E-18  0.000E+00 (-5.520E-10,-2.152E-09) (-8.046E-12,-3.137E-11)  1.00E-07
  2.000E+00 4.02216E-18  0.000E+00 (-4.465E-10,-1.955E-09) (-6.851E-12,-3.001E-11)  3.57E-07
  2.100E+00 3.31104E-18  0.000E+00 (-3.601E-10,-1.783E-09) (-5.801E-12,-2.875E-11)  5.68E-07
