

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

  ONLY INNER PHASE SHIFTS ARE TABULATED

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.01044046E-06      0.00000000E+00
       1     -4.44661379E-10     -2.35918554E-06
       2     -6.55719278E-14     -3.48454805E-10
       3      0.00000000E+00     -5.09228801E-14
       4      0.00000000E+00      0.00000000E+00
       5      0.00000000E+00      0.00000000E+00
       6      0.00000000E+00      0.00000000E+00
       7     -6.97573700E-16      0.00000000E+00
       8      0.00000000E+00      0.00000000E+00
       9      0.00000000E+00      0.00000000E+00
      10      0.00000000E+00      0.00000000E+00
      11      2.16247847E-14      6.97573700E-16


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
  6.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.000E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.100E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.200E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.300E+00 1.81841E-20  0.000E+00 ( 1.346E-10,-7.732E-12) ( 1.341E-12,-7.694E-14)  3.29E-04
  1.400E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.500E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.600E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.700E+00 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.800E+00 4.94767E-21  0.000E+00 ( 7.024E-11,-3.697E-12) ( 9.692E-13,-5.100E-14)  7.26E-04
  1.900E+00 3.98544E-21  0.000E+00 ( 6.304E-11,-3.268E-12) ( 9.187E-13,-4.764E-14)  4.92E-05
  2.000E+00 3.24621E-21  0.000E+00 ( 5.689E-11,-2.907E-12) ( 8.724E-13,-4.456E-14)  5.10E-04
  2.100E+00 2.67070E-21  0.000E+00 ( 5.161E-11,-2.599E-12) ( 8.311E-13,-4.187E-14)  7.89E-04
  2.200E+00 2.21723E-21  0.000E+00 ( 4.702E-11,-2.336E-12) ( 7.933E-13,-3.941E-14)  8.06E-04
  2.300E+00 1.85609E-21  0.000E+00 ( 4.302E-11,-2.109E-12) ( 7.588E-13,-3.720E-14)  6.24E-04
  2.400E+00 1.56554E-21  0.000E+00 ( 3.951E-11,-1.913E-12) ( 7.273E-13,-3.521E-14)  3.16E-04
  2.500E+00 1.32970E-21  0.000E+00 ( 3.642E-11,-1.741E-12) ( 6.981E-13,-3.337E-14)  3.66E-05
  2.600E+00 1.13664E-21  0.000E+00 ( 3.367E-11,-1.590E-12) ( 6.714E-13,-3.171E-14)  2.99E-04
  2.700E+00 9.77381E-22  0.000E+00 ( 3.122E-11,-1.457E-12) ( 6.465E-13,-3.017E-14)  4.38E-04
  2.800E+00 8.45067E-22  0.000E+00 ( 2.903E-11,-1.339E-12) ( 6.234E-13,-2.876E-14)  4.40E-04
